coach_name,team_name
Juan Carlos Lorenzo,Argentina men's national association football team
Juan Carlos Lorenzo,Club Atlético River Plate
Juan Carlos Lorenzo,RCD Mallorca
Juan Carlos Lorenzo,SS Lazio
Juan Carlos Lorenzo,San Lorenzo de Almagro
Juan Carlos Lorenzo,Atlético de Madrid
Juan Carlos Lorenzo,Unión de Santa Fe
Juan Carlos Lorenzo,Boca Juniors
Juan Carlos Lorenzo,Racing Club
Juan Carlos Lorenzo,Argentinos Juniors
Juan Carlos Lorenzo,San Lorenzo de Almagro
Juan Carlos Lorenzo,Club Atlético Vélez Sarsfield
Juan Carlos Lorenzo,Club Atlético Atlanta
Juan Carlos Lorenzo,Independiente Santa Fe
Juan Carlos Lorenzo,SS Lazio
Juan Carlos Lorenzo,San Lorenzo de Almagro
Juan Carlos Lorenzo,Boca Juniors
Francesco Guidolin,Swansea City A.F.C.
Nereo Rocco,AC Milan
Nedo Sonetti,Viareggio Calcio
Nedo Sonetti,A.S.D. Casertana Calcio
Nedo Sonetti,Spezia Calcio
Nedo Sonetti,Cosenza Calcio
Nedo Sonetti,S.S. Sambenedettese Calcio
Nedo Sonetti,Atalanta BC
Nedo Sonetti,Udinese Calcio
Nedo Sonetti,U.S. Avellino 1912
Nedo Sonetti,Ascoli Calcio 1898 FC
Nedo Sonetti,Bologna F.C. 1909
Nedo Sonetti,US Lecce
Nedo Sonetti,AC Monza
Nedo Sonetti,Torino FC
Nedo Sonetti,U.S. Cremonese
Nedo Sonetti,US Lecce
Nedo Sonetti,Brescia Calcio
Nedo Sonetti,U.S. Salernitana 1919
Nedo Sonetti,Cagliari Calcio
Nedo Sonetti,Palermo F.C.
Nedo Sonetti,A.C. Ancona
Nedo Sonetti,Catania FC
Nedo Sonetti,Cagliari Calcio
Nedo Sonetti,Ascoli Calcio 1898 FC
Nedo Sonetti,Cagliari Calcio
Nedo Sonetti,Brescia Calcio
Nedo Sonetti,Vicenza Calcio
Alec Stock,AFC Bournemouth
Héctor Cúper,Real Betis Balompié
Héctor Cúper,Syria men's national football team
Fabio Liverani,Leyton Orient F.C.
Mario Corso,US Lecce
Umberto Caligaris,Brescia Calcio
Vujadin Boškov,BSC Young Boys
Domenico Di Carlo,Spezia Calcio
Domenico Di Carlo,US Livorno 1915
Domenico Di Carlo,Mantova FC
Domenico Di Carlo,Cesena FC
Domenico Di Carlo,Parma Calcio 1913
Domenico Di Carlo,Novara Calcio
Domenico Di Carlo,U.C. Sampdoria
Domenico Di Carlo,AC ChievoVerona
Domenico Di Carlo,LR Vicenza
Antonio Conte,S.S. Arezzo
Antonio Conte,S.S. Arezzo
Antonio Conte,SSC Bari
Antonio Conte,Atalanta BC
Antonio Conte,Siena FC
Antonio Conte,Juventus FC
Antonio Conte,Juventus FC
Antonio Conte,Italy men's national association football team
Antonio Conte,Chelsea F.C.
Antonio Conte,Inter Milan
Antonio Conte,Tottenham Hotspur F.C.
Antonio Conte,SSC Napoli
George Raynor,Djurgårdens IF Fotboll
George Raynor,Doncaster Rovers F.C.
György Sárosi,SSC Bari
Aldo Olivieri,Viareggio Calcio
Raffaele Palladino,AC Monza
Raffaele Palladino,ACF Fiorentina
Raffaele Palladino,Inter Milan
Cristian Bucchi,Delfino Pescara 1936
Fabio Pecchia,A.S. Gubbio 1910
Ivan Jurić,Hellas Verona FC
Ivan Jurić,A.S. Roma
Gianpiero Marini,Inter Milan
Eraldo Monzeglio,Como 1907
Attila Sallustro,U.S. Salernitana 1919
Attila Sallustro,SSC Napoli
Amedeo Amadei,SSC Napoli
Marco Giampaolo,Ascoli Calcio 1898 FC
Marco Giampaolo,Cagliari Calcio
Marco Giampaolo,Cagliari Calcio
Marco Giampaolo,Siena FC
Marco Giampaolo,Catania FC
Marco Giampaolo,AC Cesena
Marco Giampaolo,Brescia Calcio
Marco Giampaolo,U.S. Cremonese
Marco Giampaolo,Empoli FC
Marco Giampaolo,U.C. Sampdoria
Marco Giampaolo,AC Milan
Marco Giampaolo,Torino FC
Marco Giampaolo,U.C. Sampdoria
Marco Giampaolo,US Lecce
Emiliano Mondonico,U.S. Cremonese
Emiliano Mondonico,Como 1907
Emiliano Mondonico,Atalanta BC
Emiliano Mondonico,Torino FC
Emiliano Mondonico,Atalanta BC
Emiliano Mondonico,Torino FC
Emiliano Mondonico,SSC Napoli
Emiliano Mondonico,Cosenza Calcio
Emiliano Mondonico,Cosenza Calcio
Emiliano Mondonico,ACF Fiorentina
Emiliano Mondonico,U.C. AlbinoLeffe
Emiliano Mondonico,U.S. Cremonese
Emiliano Mondonico,U.S. Cremonese
Emiliano Mondonico,U.C. AlbinoLeffe
Emiliano Mondonico,U.C. AlbinoLeffe
Emiliano Mondonico,Novara Calcio
Luigi Radice,AC Monza
Luigi Radice,Treviso F.B.C. 1993
Luigi Radice,AC Monza
Luigi Radice,AC Cesena
Luigi Radice,ACF Fiorentina
Luigi Radice,Cagliari Calcio
Luigi Radice,Torino FC
Luigi Radice,Bologna F.C. 1909
Luigi Radice,AC Milan
Luigi Radice,SSC Bari
Luigi Radice,Inter Milan
Luigi Radice,Torino FC
Luigi Radice,A.S. Roma
Luigi Radice,Bologna F.C. 1909
Luigi Radice,ACF Fiorentina
Luigi Radice,Cagliari Calcio
Luigi Radice,Genoa CFC
Luigi Radice,AC Monza
Ottavio Bianchi,Siena FC
Ottavio Bianchi,Mantova FC
Ottavio Bianchi,U.S. Triestina Calcio 1918
Ottavio Bianchi,Atalanta BC
Ottavio Bianchi,U.S. Avellino 1912
