coach_qid,startDate,endDate,origin,League
Q282551,2025-06-06T00:00:00Z,,Italian,Italy
Q310078,1960-07-01T00:00:00Z,1968-06-30T00:00:00Z,Foreign,Italy
Q310078,1973-07-01T00:00:00Z,1974-02-05T00:00:00Z,Foreign,Italy
Q310813,2017-06-09T00:00:00Z,2019-05-30T00:00:00Z,Italian,Italy
Q314670,2021-05-28T00:00:00Z,2025-06-03T00:00:00Z,Italian,Italy
Q370838,2013-05-24T00:00:00Z,2014-11-14T00:00:00Z,Italian,Italy
Q43304,1999-07-01T00:00:00Z,2000-10-01T00:00:00Z,Italian,Italy
Q44420,1986-07-01T00:00:00Z,1991-06-30T00:00:00Z,Italian,Italy
Q48330,2004-07-01T00:00:00Z,2008-05-29T00:00:00Z,Italian,Italy
Q48330,2014-11-14T00:00:00Z,2016-08-08T00:00:00Z,Italian,Italy
Q645692,1994-07-01T00:00:00Z,1995-09-25T00:00:00Z,Italian,Italy
Q678243,1936-01-01T00:00:00Z,1938-01-01T00:00:00Z,Italian,Italy
Q79983,2008-06-02T00:00:00Z,2010-05-30T00:00:00Z,Foreign,Italy
Q923088,2016-11-08T00:00:00Z,2017-05-09T00:00:00Z,Italian,Italy
Q192131,1949-01-01T00:00:00Z,1951-01-01T00:00:00Z,Italian,Italy
Q113652572,2008-07-01T00:00:00Z,2009-06-01T00:00:00Z,Italian,Italy
Q1337031,1974-07-01T00:00:00Z,1980-06-30T00:00:00Z,Italian,Italy
Q1337031,1993-06-01T00:00:00Z,1995-03-18T00:00:00Z,Italian,Italy
Q1337031,1998-04-05T00:00:00Z,1999-02-13T00:00:00Z,Italian,Italy
Q227892,2018-05-14T00:00:00Z,2019-05-21T00:00:00Z,Italian,Italy
Q3852721,2008-08-23T00:00:00Z,2009-01-15T00:00:00Z,Italian,Italy
Q578673,1982-07-01T00:00:00Z,1983-06-30T00:00:00Z,Italian,Italy
Q578673,1984-07-01T00:00:00Z,1985-06-30T00:00:00Z,Italian,Italy
Q1317738,2018-12-19T00:00:00Z,2019-06-02T00:00:00Z,Italian,Italy
Q227892,2019-06-17T00:00:00Z,2021-03-22T00:00:00Z,Italian,Italy
Q230529,2021-03-23T00:00:00Z,2023-06-17T00:00:00Z,Italian,Italy
Q3862936,2017-06-14T00:00:00Z,2018-12-19T00:00:00Z,Italian,Italy
Q396154,2023-01-01T00:00:00Z,2024-01-01T00:00:00Z,Italian,Italy
Q174614,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italian,Italy
Q227892,2023-06-13T00:00:00Z,2024-06-12T00:00:00Z,Italian,Italy
Q1080952,1993-11-22T00:00:00Z,1994-06-30T00:00:00Z,Italian,Italy
