coachName,nationality,nationality2,teamName,teamCountry
Roberto Donadoni,Italy,,US Livorno 1915,Italy
Roberto Donadoni,Italy,,US Livorno 1915,Italy
Roberto Donadoni,Italy,,Italy men's national association football team,National
Roberto Donadoni,Italy,,Calcio Lecco 1912,Italy
Roberto Donadoni,Italy,,Calcio Lecco 1912,Italy
Fabio Cannavaro,Italy,,Guangzhou F.C.,People's Republic of China
Fabio Cannavaro,Italy,,GNK Dinamo Zagreb,Croatia
Fabio Cannavaro,Italy,,Udinese Calcio,Italy
Fabio Cannavaro,Italy,,Benevento Calcio,Italy
Paolo Vanoli,Italy,,Chelsea F.C.,United Kingdom
Gunnar Gren,Sweden,,AC Milan,Italy
Leonardo Araújo,Brazil,,AC Milan,Italy
Diego Simeone,Argentina,,Club Atlético River Plate,Argentina
Diego Simeone,Argentina,,Catania FC,Italy
Diego Simeone,Argentina,,Estudiantes de La Plata,Argentina
Diego Simeone,Argentina,,San Lorenzo de Almagro,Argentina
Diego Simeone,Argentina,,SSC Napoli,Italy
Diego Simeone,Argentina,,Racing Club,Argentina
Diego Simeone,Argentina,,Racing Club,Argentina
Diego Simeone,Argentina,,Atlético de Madrid,Spain
Carlo Ancelotti,Italy,,Juventus FC,Italy
Carlo Ancelotti,Italy,,AC Milan,Italy
Carlo Ancelotti,Italy,,FC Bayern Munich,Germany
Carlo Ancelotti,Italy,,SSC Napoli,Italy
Carlo Ancelotti,Italy,,Parma Calcio 1913,Italy
Carlo Ancelotti,Italy,,A.C. Reggiana 1919,Italy
Carlo Ancelotti,Italy,,Paris Saint-Germain FC,France
Carlo Ancelotti,Italy,,Everton F.C.,United Kingdom
Carlo Ancelotti,Italy,,Brazil men's national football team,National
Carlo Ancelotti,Italy,,Real Madrid CF,Spain
Carlo Ancelotti,Italy,,Real Madrid CF,Spain
Carlo Ancelotti,Italy,,Chelsea F.C.,United Kingdom
Cristian Chivu,Romania,,Parma Calcio 1913,Italy
Cristian Chivu,Romania,,Inter Milan,Italy
Fatih Terim,Turkey,,Göztepe S.K.,Turkey
Fatih Terim,Turkey,,AC Milan,Italy
Fatih Terim,Turkey,,Turkey national under-21 football team,National
Fatih Terim,Turkey,,ACF Fiorentina,Italy
Fatih Terim,Turkey,,Al-Shabab Football Club,Saudi Arabia
Fatih Terim,Turkey,,Panathinaikos F.C.,Greece
Fatih Terim,Turkey,,Turkey men's national football team,National
Fatih Terim,Turkey,,Turkey men's national football team,National
Fatih Terim,Turkey,,Turkey men's national football team,National
Fatih Terim,Turkey,,Turkey men's national football team,National
Fatih Terim,Turkey,,MKE Ankaragücü,Turkey
Fatih Terim,Turkey,,Galatasaray S.K.,Turkey
Fatih Terim,Turkey,,Galatasaray S.K.,Turkey
Fatih Terim,Turkey,,Galatasaray S.K.,Turkey
Fatih Terim,Turkey,,Galatasaray S.K.,Turkey
Siniša Mihajlović,Serbia,,U.C. Sampdoria,Italy
Siniša Mihajlović,Serbia,,AC Milan,Italy
Siniša Mihajlović,Serbia,,Serbia men's national football team,National
Siniša Mihajlović,Serbia,,Bologna F.C. 1909,Italy
Siniša Mihajlović,Serbia,,Bologna F.C. 1909,Italy
Siniša Mihajlović,Serbia,,Catania FC,Italy
Siniša Mihajlović,Serbia,,ACF Fiorentina,Italy
Siniša Mihajlović,Serbia,,Torino FC,Italy
Siniša Mihajlović,Serbia,,Sporting CP,Portugal
Walter Zenga,Italy,Romania,Emirates Club,United Arab Emirates
Walter Zenga,Italy,Romania,FC Progresul București,Romania
Walter Zenga,Italy,Romania,U.C. Sampdoria,Italy
Walter Zenga,Italy,Romania,FK Crvena zvezda,Serbia
Walter Zenga,Italy,Romania,FCSB,Romania
Walter Zenga,Italy,Romania,Cagliari Calcio,Italy
Walter Zenga,Italy,Romania,Wolverhampton Wanderers F.C.,United Kingdom
Walter Zenga,Italy,Romania,Catania FC,Italy
Walter Zenga,Italy,Romania,FC Dinamo Bucharest,Romania
Walter Zenga,Italy,Romania,Brera Calcio,Italy
Walter Zenga,Italy,Romania,Palermo F.C.,Italy
Walter Zenga,Italy,Romania,Gaziantepspor,Turkey
Walter Zenga,Italy,Romania,New England Revolution,United States
Walter Zenga,Italy,Romania,Al Jazira Club,United Arab Emirates
Walter Zenga,Italy,Romania,Al-Nassr,Saudi Arabia
Walter Zenga,Italy,Romania,Venezia F.C.,Italy
Walter Zenga,Italy,Romania,F.C. Crotone,Italy
Walter Zenga,Italy,Romania,Al-Nasr SC,United Arab Emirates
Walter Zenga,Italy,Romania,Al-Shaab CSC,United Arab Emirates
