coach_qid,team_qid,team_label,startDate,endDate,League
Q41244,Q1543,AC Milan,1999-01-01T00:00:00Z,2006-01-01T00:00:00Z,Italy
Q41244,Q9616,Chelsea F.C.,2006-01-01T00:00:00Z,2009-01-01T00:00:00Z,United Kingdom
Q41244,Q1543,AC Milan,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z,Italy
Q41244,Q179075,FC Dynamo Kyiv,2009-01-01T00:00:00Z,2012-01-01T00:00:00Z,Ukraine
Q235068,Q2739,A.S. Roma,1973-01-01T00:00:00Z,1974-01-01T00:00:00Z,Italy
Q235068,Q501372,Unione Sportiva Catanzaro,1974-01-01T00:00:00Z,1982-01-01T00:00:00Z,Italy
Q235068,Q2018,Catania FC,1982-01-01T00:00:00Z,1984-01-01T00:00:00Z,Italy
Q235068,Q2674,Palermo F.C.,1984-01-01T00:00:00Z,1986-01-01T00:00:00Z,Italy
Q183108,Q13385,SPAL,1964-01-01T00:00:00Z,1967-01-01T00:00:00Z,Italy
Q183108,Q2739,A.S. Roma,1967-01-01T00:00:00Z,1970-01-01T00:00:00Z,Italy
Q183108,Q1422,Juventus FC,1970-01-01T00:00:00Z,1976-01-01T00:00:00Z,Italy
Q183108,Q676899,Italy men's national association football team,1972-01-01T00:00:00Z,1978-01-01T00:00:00Z,Italy
Q183108,Q1543,AC Milan,1976-01-01T00:00:00Z,1980-01-01T00:00:00Z,Italy
Q654036,Q19446,Blackburn Rovers F.C.,1929-01-01T00:00:00Z,1936-01-01T00:00:00Z,United Kingdom
Q654036,Q18716,Newcastle United F.C.,1936-01-01T00:00:00Z,1939-01-01T00:00:00Z,United Kingdom
Q219657,Q81888,AFC Ajax,1988-01-01T00:00:00Z,1999-01-01T00:00:00Z,Netherlands
Q219657,Q47050,Netherlands national association football team,1990-01-01T00:00:00Z,2004-01-01T00:00:00Z,Netherlands
Q219657,Q7156,FC Barcelona,1999-01-01T00:00:00Z,2003-01-01T00:00:00Z,Spain
Q219657,Q495299,Galatasaray S.K.,2003-01-01T00:00:00Z,2004-01-01T00:00:00Z,Turkey
Q219657,Q19597,Rangers F.C.,2004-01-01T00:00:00Z,2004-01-01T00:00:00Z,United Kingdom
Q219657,Q311268,Al-Rayyan,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z,Qatar
Q219657,Q812760,Al-Shamal Sports Club,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z,Qatar
Q312143,Q19587,Crewe Alexandra F.C.,1985-01-01T00:00:00Z,1988-01-01T00:00:00Z,United Kingdom
Q312143,Q18711,Aston Villa F.C.,1988-01-01T00:00:00Z,1991-01-01T00:00:00Z,United Kingdom
Q312143,Q204238,England national under-21 association football team,1988-01-01T00:00:00Z,1988-01-01T00:00:00Z,United Kingdom
Q312143,Q1110944,England national association football B team,1989-01-01T00:00:00Z,1996-01-01T00:00:00Z,United Kingdom
Q312143,Q47762,England men's national association football team,1989-01-01T00:00:00Z,1996-01-01T00:00:00Z,United Kingdom
Q312143,Q6641,SSC Bari,1991-01-01T00:00:00Z,1992-01-01T00:00:00Z,Italy
Q312143,Q1422,Juventus FC,1992-01-01T00:00:00Z,1993-01-01T00:00:00Z,Italy
Q312143,Q1457,U.C. Sampdoria,1993-01-01T00:00:00Z,1995-01-01T00:00:00Z,Italy
Q312143,Q9617,Arsenal F.C.,1995-07-14T00:00:00Z,1998-01-01T00:00:00Z,United Kingdom
Q312143,Q19490,Nottingham Forest F.C.,1999-01-01T00:00:00Z,2001-01-01T00:00:00Z,United Kingdom
Q144048,Q2878009,Alone de Guardamar,,,Spain
Q144048,Q12217,Real Madrid Castilla,1974-01-01T00:00:00Z,1981-01-01T00:00:00Z,Spain
Q144048,Q431453,AD Parla,1981-01-01T00:00:00Z,1985-01-01T00:00:00Z,Spain
Q144048,Q914378,Linares CF,1985-01-01T00:00:00Z,1986-01-01T00:00:00Z,Spain
Q116980,Q2266580,Italy national under-19 football team,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q116980,Q16344,A.C. Perugia Calcio,1995-01-01T00:00:00Z,1997-01-01T00:00:00Z,Italy
Q116980,Q3873513,Italy national under-18 football team,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q116980,Q19597,Rangers F.C.,1997-01-01T00:00:00Z,1998-01-01T00:00:00Z,United Kingdom
Q116980,Q922698,Italy national under-21 football team,1998-01-01T00:00:00Z,2000-01-01T00:00:00Z,Italy
Q116980,Q847587,U.S. Salernitana 1919,1998-01-01T00:00:00Z,1999-01-01T00:00:00Z,Italy
Q116980,Q1543,AC Milan,1999-01-01T00:00:00Z,2012-01-01T00:00:00Z,Italy
