coach_qid,coach_name,team_qid,team_name,played_there
Q312999,Mauro Tassotti,Q1543,AC Milan,1
Q169092,Zdeněk Zeman,Q1082282,S.S.D. Licata 1931,0
Q169092,Zdeněk Zeman,Q139399,Calcio Foggia 1920,0
Q169092,Zdeněk Zeman,Q2693,Parma Calcio 1913,0
Q169092,Zdeněk Zeman,Q29390,A.C.R. Messina,0
Q169092,Zdeněk Zeman,Q139399,Calcio Foggia 1920,0
Q169092,Zdeněk Zeman,Q2609,SS Lazio,0
Q169092,Zdeněk Zeman,Q2739,A.S. Roma,0
Q169092,Zdeněk Zeman,Q6601875,Fenerbahçe Istanbul,0
Q169092,Zdeněk Zeman,Q2641,SSC Napoli,0
Q169092,Zdeněk Zeman,Q847587,U.S. Salernitana 1919,0
Q169092,Zdeněk Zeman,Q298217,U.S. Avellino 1912,0
Q169092,Zdeněk Zeman,Q13391,US Lecce,0
Q169092,Zdeněk Zeman,Q6651,Brescia Calcio,0
Q169092,Zdeněk Zeman,Q13391,US Lecce,0
Q169092,Zdeněk Zeman,Q173009,FK Crvena zvezda,0
Q169092,Zdeněk Zeman,Q139399,Calcio Foggia 1920,0
Q169092,Zdeněk Zeman,Q2710,Delfino Pescara 1936,0
Q169092,Zdeněk Zeman,Q2739,A.S. Roma,0
Q169092,Zdeněk Zeman,Q1900,Cagliari Calcio,0
Q169092,Zdeněk Zeman,Q1900,Cagliari Calcio,0
Q169092,Zdeněk Zeman,Q633521,FC Lugano,1
Q169092,Zdeněk Zeman,Q2710,Delfino Pescara 1936,0
Q1335292,Walter Novellino,Q16344,A.C. Perugia Calcio,1
Q31575,Marcelo Bielsa,Q1128631,Leeds United F.C.,0
Q31575,Marcelo Bielsa,Q134916,Uruguay men's national football team,0
Q310078,Helenio Herrera,Q1474354,Stade Français Football,1
Q310078,Helenio Herrera,Q10319,Real Valladolid,0
Q310078,Helenio Herrera,Q8701,Atlético de Madrid,0
Q310078,Helenio Herrera,Q124518,CD Málaga,0
Q310078,Helenio Herrera,Q8760,Deportivo de La Coruña,0
Q310078,Helenio Herrera,Q10329,Sevilla FC,0
Q310078,Helenio Herrera,Q216510,C.F. Os Belenenses,0
Q310078,Helenio Herrera,Q7156,FC Barcelona,0
Q310078,Helenio Herrera,Q631,Inter Milan,0
Q310078,Helenio Herrera,Q2739,A.S. Roma,0
Q310078,Helenio Herrera,Q2739,A.S. Roma,0
Q310078,Helenio Herrera,Q631,Inter Milan,0
Q310078,Helenio Herrera,Q289713,Rimini FC,0
Q310078,Helenio Herrera,Q289713,Rimini FC,0
Q310078,Helenio Herrera,Q7156,FC Barcelona,0
Q310078,Helenio Herrera,Q7156,FC Barcelona,0
Q1444249,Frank Soo,Q19615,Scunthorpe United F.C.,0
Q1444249,Frank Soo,Q622430,Djurgårdens IF Fotboll,0
Q2298680,Bill Dodgin,Q18732,Southampton F.C.,1
Q369133,Roberto Sensini,Q2798,Udinese Calcio,1
Q1408093,Ferruccio Valcareggi,Q289656,A.C. Prato,0
Q317298,Sérgio Conceição,Q621259,S.C. Olhanense,0
Q317298,Sérgio Conceição,Q243235,Associação Académica de Coimbra – O.A.F.,0
Q317298,Sérgio Conceição,Q75684,S.C. Braga,0
Q317298,Sérgio Conceição,Q223450,Vitória S.C.,0
Q317298,Sérgio Conceição,Q192071,FC Nantes,0
Q317298,Sérgio Conceição,Q128446,FC Porto,1
Q317298,Sérgio Conceição,Q1543,AC Milan,0
Q316633,Alberto Zaccheroni,Q1543,AC Milan,1
Q310813,Luciano Spalletti,Q6703,Empoli FC,1
Q310813,Luciano Spalletti,Q6703,Empoli FC,1
Q310813,Luciano Spalletti,Q1457,U.C. Sampdoria,0
Q310813,Luciano Spalletti,Q1457,U.C. Sampdoria,0
Q310813,Luciano Spalletti,Q501245,Venezia F.C.,0
Q310813,Luciano Spalletti,Q501245,Venezia F.C.,0
Q310813,Luciano Spalletti,Q2798,Udinese Calcio,0
Q310813,Luciano Spalletti,Q20706646,A.C. Ancona,0
Q310813,Luciano Spalletti,Q2798,Udinese Calcio,0
Q310813,Luciano Spalletti,Q2739,A.S. Roma,0
Q310813,Luciano Spalletti,Q29108,FC Zenit Saint Petersburg,0
Q310813,Luciano Spalletti,Q2739,A.S. Roma,0
Q310813,Luciano Spalletti,Q631,Inter Milan,0
Q310813,Luciano Spalletti,Q2641,SSC Napoli,0
Q310813,Luciano Spalletti,Q676899,Italy men's national association football team,0
Q505701,Nevio Scala,Q8476,AS Reggina 1914,0
Q294259,Arrigo Sacchi,Q289713,Rimini FC,0
Q294259,Arrigo Sacchi,Q289713,Rimini FC,0
Q294259,Arrigo Sacchi,Q2693,Parma Calcio 1913,0
Q294259,Arrigo Sacchi,Q1543,AC Milan,0
Q294259,Arrigo Sacchi,Q676899,Italy men's national association football team,0
Q294259,Arrigo Sacchi,Q1543,AC Milan,0
Q294259,Arrigo Sacchi,Q8701,Atlético de Madrid,0
Q294259,Arrigo Sacchi,Q2693,Parma Calcio 1913,0
Q314670,Simone Inzaghi,Q2609,SS Lazio,1
Q314670,Simone Inzaghi,Q631,Inter Milan,0
Q314670,Simone Inzaghi,Q73965,Al Hilal SFC,0
