coach_qid,entity_qid,startDate,endDate
Q258115,Q15799,2008-01-01T00:00:00Z,2008-11-08T00:00:00Z
Q258115,Q218282,2009-04-20T00:00:00Z,2010-04-03T00:00:00Z
Q258115,Q2018,2011-01-19T00:00:00Z,2011-06-01T00:00:00Z
Q258115,Q276533,2011-06-23T00:00:00Z,2011-12-22T00:00:00Z
Q258115,Q8701,2011-12-23T00:00:00Z,2024-01-06T00:00:00Z
Q258115,Q2641,2024-01-06T00:00:00Z,
Q174614,Q289707,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z
Q174614,Q2693,1996-01-01T00:00:00Z,1998-01-01T00:00:00Z
Q174614,Q1422,1999-02-01T00:00:00Z,2001-06-17T00:00:00Z
Q174614,Q1543,2001-11-05T00:00:00Z,2009-05-31T00:00:00Z
Q174614,Q9616,2009-06-01T00:00:00Z,2011-05-22T00:00:00Z
Q174614,Q483020,2011-12-30T00:00:00Z,2013-05-19T00:00:00Z
Q174614,Q8682,2013-06-25T00:00:00Z,2015-05-25T00:00:00Z
Q174614,Q15789,2016-07-01T00:00:00Z,2017-09-28T00:00:00Z
Q174614,Q2641,2018-05-23T00:00:00Z,2019-12-10T00:00:00Z
Q174614,Q5794,2019-12-21T00:00:00Z,2021-05-31T00:00:00Z
Q174614,Q8682,2021-06-01T00:00:00Z,2025-05-24T00:00:00Z
Q174614,Q83459,2025-05-26T00:00:00Z,
Q210491,Q2693,2025-02-18T00:00:00Z,2025-06-01T00:00:00Z
Q210491,Q631,2025-06-06T00:00:00Z,
Q262203,Q492826,1987-09-20T00:00:00Z,1989-06-30T00:00:00Z
Q262203,Q1423118,1989-07-01T00:00:00Z,1990-06-30T00:00:00Z
Q262203,Q1624749,1990-08-01T00:00:00Z,1993-10-26T00:00:00Z
Q262203,Q483856,1993-10-27T00:00:00Z,1996-06-30T00:00:00Z
Q262203,Q495299,1996-07-01T00:00:00Z,2000-06-30T00:00:00Z
Q262203,Q2052,2000-07-01T00:00:00Z,2001-02-25T00:00:00Z
Q262203,Q1543,2001-07-01T00:00:00Z,2001-11-05T00:00:00Z
Q262203,Q495299,2002-07-31T00:00:00Z,2004-03-24T00:00:00Z
Q262203,Q483856,2005-08-17T00:00:00Z,2006-01-19T00:00:00Z
Q262203,Q483856,2006-02-01T00:00:00Z,2009-10-20T00:00:00Z
Q262203,Q495299,2011-07-14T00:00:00Z,2013-09-25T00:00:00Z
Q262203,Q483856,2013-08-22T00:00:00Z,2017-07-26T00:00:00Z
